,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
10,Buchanan,07,1963,East Buchanan,10,37,47,78.7,,10,30,40,75,,7,29,36,80.6,,5,40,45,88.9,,8,36,44,81.8,,5,31,36,86.1,,5,33,38,86.8,,,
49,Jackson,09,1965,Easton Valley,3,34,37,91.9,,6,31,37,83.8,,3,34,37,91.9,,5,30,35,85.7,,3,29,32,90.6,,11,29,40,72.5,,5,30,35,85.7,,,
64,Marshall,07,1968,East Marshall,7,41,48,85.4,,3,53,56,94.6,,5,58,63,92.1,,9,41,50,82,,10,43,53,81.1,,12,53,65,81.5,,14,51,65,78.5,,,
88,Union,13,1970,East Union,16,20,36,55.6,,7,23,30,76.7,,17,18,35,51.4,,11,25,36,69.4,,13,18,31,58.1,,10,17,27,63,,12,21,33,63.6,,,
03,Allamakee,01,1972,Eastern Allamakee,1,18,19,94.7,,4,15,19,78.9,,6,25,31,80.6,,4,17,21,81,,5,31,36,86.1,,4,23,27,85.2,,2,18,20,90,,,
97,Woodbury,12,1975,River Valley,3,22,25,88,,6,26,32,81.3,,6,20,26,76.9,,8,25,33,75.8,,2,24,26,92.3,,6,27,33,81.8,,3,21,24,87.5,,,
28,Delaware,01,1989,Edgewood-Colesburg,1,34,35,97.1,,13,19,32,59.4,,16,30,46,65.2,,11,28,39,71.8,,6,27,33,81.8,,5,34,39,87.2,,5,36,41,87.8,,,
42,Hardin,07,2007,Eldora-New Providence,6,36,42,85.7,,5,30,35,85.7,,4,34,38,89.5,,small N,small N,small N,small N,,0,0,0,,,small N,small N,small N,small N,,8,47,55,85.5,,,
74,Palo Alto,05,2088,Emmetsburg,16,42,58,72.4,,18,35,53,66,,18,32,50,64,,21,34,55,61.8,,9,47,56,83.9,,9,32,41,78,,9,47,56,83.9,,,
48,Iowa,10,2097,English Valleys,5,27,32,84.4,,6,26,32,81.3,,7,29,36,80.6,,7,16,23,69.6,,5,27,32,84.4,,7,27,34,79.4,,4,25,29,86.2,,,
