County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
85,Story,11,1350,Collins-Maxwell Comm School District,3,18,21,85.7,,13,19,32,59.4,,14,23,37,62.2,,4,17,21,81.0,,21,20,41,48.8,,13,17,30,56.7,,6,17,23,73.9,,18,17,35,48.6,,,
85,Story,11,1359,Colo-NESCO Comm School District,3,16,19,84.2,,6,21,27,77.8,,2,26,28,92.9,,3,29,32,90.6,,6,22,28,78.6,,8,19,27,70.4,,11,17,28,60.7,,9,22,31,71.0,,,
58,Louisa,09,1368,Columbus Comm School District,15,32,47,68.1,,20,25,45,55.6,,20,27,47,57.4,,17,35,52,67.3,,20,29,49,59.2,,22,17,39,43.6,,24,26,50,52.0,,26,20,46,43.5,,,
14,Carroll,11,1413,Coon Rapids-Bayard Comm School District,4,25,29,86.2,,6,25,31,80.6,,5,31,36,86.1,,7,23,30,76.7,,6,16,22,72.7,,8,16,24,66.7,,12,17,29,58.6,,4,21,25,84.0,,,
02,Adams,13,1431,Corning Comm School District,8,27,35,77.1,,8,19,27,70.4,,10,23,33,69.7,,0,0,0,,,0,0,0,,,0,0,0,,,11,26,37,70.3,,21,16,37,43.2,,,
78,Pottawattamie,13,1476,Council Bluffs Comm School District,245,408,653,62.5,,188,457,645,70.9,,191,445,636,70.0,,243,373,616,60.6,,282,353,635,55.6,,229,436,665,65.6,,300,325,625,52.0,,300,271,571,47.5,,,
88,Union,13,1503,Creston Comm School District,42,41,83,49.4,,37,66,103,64.1,,24,77,101,76.2,,51,53,104,51.0,,35,74,109,67.9,,25,83,108,76.9,,35,87,122,71.3,,44,56,100,56.0,,,
25,Dallas,11,1576,Dallas Center-Grimes Comm School District,36,244,280,87.1,,29,229,258,88.8,,29,200,229,87.3,,37,201,238,84.5,,22,206,228,90.4,,24,187,211,88.6,,38,182,220,82.7,,52,147,199,73.9,,,
29,Des Moines,15,1602,Danville Comm School District,3,41,44,93.2,,8,44,52,84.6,,8,40,48,83.3,,10,47,57,82.5,,17,44,61,72.1,,11,32,43,74.4,,15,39,54,72.2,,12,41,53,77.4,,,
82,Scott,09,1611,Davenport Comm School District,336,631,967,65.3,,386,656,"1,042",63.0,,415,698,"1,113",62.7,,574,522,"1,096",47.6,,540,522,"1,062",49.2,,500,503,"1,003",50.1,,514,461,975,47.3,,491,466,957,48.7,,,
26,Davis,15,1619,Davis County Comm School District,23,63,86,73.3,,28,63,91,69.2,,21,83,104,79.8,,42,66,108,61.1,,42,59,101,58.4,,25,80,105,76.2,,38,43,81,53.1,,34,41,75,54.7,,,
96,Winneshiek,01,1638,Decorah Community School District,11,101,112,90.2,,17,93,110,84.5,,31,95,126,75.4,,20,94,114,82.5,,15,105,120,87.5,,20,116,136,85.3,,14,126,140,90.0,,13,128,141,90.8,,,
23,Clinton,09,1675,Delwood Comm School District,3,14,17,82.4,,1,12,13,92.3,,3,20,23,87.0,,1,15,16,93.8,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
24,Crawford,12,1701,Denison Comm School District,66,81,147,55.1,,34,122,156,78.2,,39,124,163,76.1,,57,113,170,66.5,,52,103,155,66.5,,37,132,169,78.1,,56,121,177,68.4,,72,120,192,62.5,,,
09,Bremer,07,1719,Denver Comm School District,9,42,51,82.4,,5,55,60,91.7,,1,60,61,98.4,,4,60,64,93.8,,7,57,64,89.1,,2,57,59,96.6,,3,58,61,95.1,,7,45,52,86.5,,,
